Movie Name,Storyline,clean_story
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",fading celebrity take blackmarket drug cellreplicating substance help create younger better version
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",lifeaffirming genrebending story three chapter life ordinary man named charles krantz
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",couple vacation secluded estate upended theyre forced share mansion mysterious couple dream getaway spiral nightmarish maze sex lie manipulation triggering battle survival
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",young stripper brooklyn meet impulsively marries son russian oligarch news reach russia fairy tale threatened parent set new york get marriage annulled
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",based factual account group outsider settle remote island discover greatest threat isnt brutal climate deadly wildlife
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,broker lucrative payoff corrupt corporation individual threaten break rule new client seek protection stay alive
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",paul atreides unites fremen warpath revenge conspirator destroyed family facing choice love life fate universe endeavor prevent terrible future
Civil War,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",dystopian future four journalist travel across united state nationwide conflict trying survive aim reach white house interview president overthrown
He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.,teenager investigating mysterious murder small town discovers collection vhs tape could reveal identity notorious serial killer
Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",home conquered tyrannical emperor lead rome lucius forced enter colosseum must look past find strength return glory rome people
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",elphaba young woman ridiculed green skin galinda popular girl become friend shiz university land oz encounter wonderful wizard oz friendship reach crossroad
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",tech billionaire slater king meet cocktail waitress frida fundraising gala invite join friend dream vacation private island strange thing start happen frida question reality
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,visionary architect flees postwar europe brighter future united state find life forever changed wealthy client
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",unknown yearold bob dylan arrives new york city guitar forge relationship musical icon meteoric rise culminating groundbreaking performance reverberates around world
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",deadpool offered place marvel cinematic universe time variance authority instead recruit variant wolverine save universe extinction
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",gothic tale obsession haunted young woman terrifying vampire infatuated causing untold horror wake
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,two young religious woman drawn game catandmouse house strange man
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",scavenging deep end derelict space station group young space colonist come face face terrifying life form universe
Kangaroo Island,"A struggling Hollywood actress returns home to Kangaroo Island, confronting the love triangle that tore her family apart.",struggling hollywood actress return home kangaroo island confronting love triangle tore family apart
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",group criminal kidnap ballerina daughter powerful underworld figure retreat isolated mansion unaware theyre locked inside normal little girl
Friendship,A suburban dad falls hard for his charismatic new neighbor.,suburban dad fall hard charismatic new neighbor
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",shipwreck intelligent robot called roz stranded uninhabited island survive harsh environment roz bond island animal care orphaned baby goose
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",cardinal lawrence tasked leading selection new pope find web conspiracy intrigue could shake foundation catholic church
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",discovery ancient artifact unleashes evil force ghostbusters new old must join force protect home save world second ice age
Secret Mall Apartment,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.",eight rhode islander created secret apartment inside busy mall lived four year filming everything along way far prank secret apartment became deeply meaningful place involved
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,british military recruit small group highly skilled soldier strike german force behind enemy line world war ii
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",stuntman fresh almost careerending accident track missing movie star solve conspiracy try win back love life still day job
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,woman married former politician military dictatorship brazil forced reinvent chart new course family violent arbitrary act
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",man seek break free predetermined path cop question wife demeanor return supposed drowning woman search extraordinary individual prophesied become renowned spiritual guide
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,highpowered ceo put career family line begin torrid affair muchyounger intern
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",desperate reclaim career oncebeloved actress samantha lake drawn glamorous world wellness mogul zoe shannon uncover monstrous truth beneath flawless surface
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",tashi former tennis prodigy turned coach transformed husband champion overcome recent losing streak redeem hell need face former best friend tashis exboyfriend
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,follows two robber must go run help one therapist theft doesnt go planned
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",pursuit serial killer fbi agent uncovers series occult clue must solve end terrifying killing spree
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",unusual encounter talented chef recently divorce fall love build home family theyve always dreamed painful truth put love story test
